log_id,timestamp,WindForecastAvr,WindForecastMax,Temperature,row_id,WindDirection,iso_time
15604,1760097600000,8,13,16.5,64,249,2025-10-10T12:00:00Z
15605,1760101200000,6,13,17.0,65,269,2025-10-10T13:00:00Z
15606,1760104800000,6,13,16.3,66,279,2025-10-10T14:00:00Z
15607,1760108400000,6,13,16.0,67,278,2025-10-10T15:00:00Z
15608,1760112000000,7,12,15.6,68,265,2025-10-10T16:00:00Z
15609,1760115600000,5,9,15.5,69,256,2025-10-10T17:00:00Z
15610,1760119200000,6,10,15.2,70,249,2025-10-10T18:00:00Z
15611,1760122800000,6,10,15.1,71,265,2025-10-10T19:00:00Z
15612,1760126400000,5,9,15.2,72,285,2025-10-10T20:00:00Z
15613,1760130000000,5,8,15.1,1,256,2025-10-10T21:00:00Z
15614,1760133600000,5,8,15.0,2,228,2025-10-10T22:00:00Z
15615,1760137200000,5,9,15.0,3,231,2025-10-10T23:00:00Z
15616,1760140800000,6,9,15.0,4,236,2025-10-11T00:00:00Z
15617,1760144400000,5,11,15.0,5,240,2025-10-11T01:00:00Z
15618,1760148000000,4,9,14.9,6,258,2025-10-11T02:00:00Z
15619,1760151600000,4,7,14.8,7,240,2025-10-11T03:00:00Z
15620,1760155200000,2,6,14.7,8,239,2025-10-11T04:00:00Z
15621,1760158800000,1,4,14.6,9,226,2025-10-11T05:00:00Z
15622,1760162400000,2,4,14.7,10,246,2025-10-11T06:00:00Z
15623,1760166000000,2,4,14.9,11,224,2025-10-11T07:00:00Z
15624,1760169600000,2,4,15.5,12,246,2025-10-11T08:00:00Z
15625,1760173200000,2,5,15.7,13,313,2025-10-11T09:00:00Z
15626,1760176800000,4,8,16.0,14,314,2025-10-11T10:00:00Z
15627,1760180400000,6,11,16.3,15,316,2025-10-11T11:00:00Z
15628,1760184000000,5,11,16.2,16,297,2025-10-11T12:00:00Z
